grupo;tipo;confianca;motivo;similaridade_base;id;nome;marca;codigo_ref;ean;ncm;estoque_atual;estoque_min; preco_ou_valor ;codigo_servico;criado_em;MARCAR_DUPLICADO_SIM_NAO
P048;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.857;f7b18aa3-fb6a-421f-8bc7-0a682a65705b;BATERIA 60 AMP ;MOURA;;;;0;5; R$ 1.659,00 ;;2026-07-28T20:41:13.32867+00:00;
P048;PRODUTO;BAIXA;"candidato por semelhança; revisar com atenção";0.429;4f8880bd-76db-41f8-9e57-39a88ee16f10;BATERIA 60 AMP H;HELIAR;;;;-1;5; R$ 1.505,00 ;;2026-07-28T20:41:35.993574+00:00;
P051;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c1175eed-3e10-42d7-8920-3b2209f034cb;Óleo ATF ;Sem Marca;;;;-1;0; R$ -   ;;2026-05-07T17:07:19.65607+00:00;
P051;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f7d76135-cc35-4db8-8c64-505645e8e17c;OLEO ATF ;Sem Marca;;;;-3;0; R$ -   ;;2026-07-08T20:26:59.016551+00:00;
P053;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;8e342f99-0a88-42ad-81cd-03199bf3ef2d;Correia do comando de valvula ;Sem Marca;;;;-1;0; R$ -   ;;2026-05-14T19:58:34.212677+00:00;
P053;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;701f968d-0ba6-4378-b552-cb681c728c66;Correia do comando de valvula ;Sem Marca;;;;0;0; R$ -   ;;2026-05-14T19:58:42.563781+00:00;
P055;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;847038ad-13b8-4924-afaf-a4aad13e3976;Filtro de combustível ;Sem Marca;;;;-2;0; R$ -   ;;2026-05-20T15:07:06.009684+00:00;
P055;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;64e0609e-5f9d-4bb9-aac7-181ff701c094;filtro de combustível;Sem Marca;;;;-2;0; R$ -   ;;2026-04-28T20:04:36.883011+00:00;
P057;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;8c24eeaa-8ef0-4d74-ad9d-919fed33f659;Abraçadeira p;Sem Marca;;;;-1;0; R$ -   ;;2026-05-28T12:12:22.441862+00:00;
P057;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.917;38434b0a-1371-40d2-a741-12cb53d3f9a3;abraçadeira;Sem Marca;;;;-1;0; R$ -   ;;2026-07-17T19:02:08.52703+00:00;
P059;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;487def24-0640-433d-b4eb-fd21b044910c;LAMPADA HALÓGENA 2 POLO;TIGER;9140244;;;7;1; R$ 30,00 ;;2026-06-29T13:07:43.0291+00:00;
P059;PRODUTO;ALTA;nomes praticamente idênticos;0.940;76e7c9fc-82a7-4479-a2d2-b5f5cd4aa420;LAMPADA HALOGENA 1 POLO;TIGER;9140234;;;8;1; R$ 35,00 ;;2026-06-29T13:08:59.968557+00:00;
P061;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;69d60692-5a74-4f76-8e7d-48bf027838c7;PARAFUSO CABECOTE  JOGO;;;;;-1;5; R$ 304,50 ;;2026-07-06T13:36:43.354388+00:00;
P061;PRODUTO;ALTA;nomes praticamente idênticos;0.970;cea8a216-a744-4287-b66e-8ca8ba9c878d;JG PARAFUSO CABEÇOTE;Sem Marca;;;73181500;-3;0; R$ -   ;;2026-07-16T19:37:02.210081+00:00;
P063;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c32b6910-3e21-4b33-aea5-5303e86f2f3c;BOMBA DE OLEO;INDIS;;;;-2;5; R$ 435,00 ;;2026-07-06T13:39:44.092415+00:00;
P063;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;12a1247f-429e-49cf-87ae-00526f6c28c8;Bomba de Óleo;Sem Marca;;;;-1;0; R$ -   ;;2026-05-06T18:00:32.855483+00:00;
P065;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;5831d69b-cd08-4e70-9ac9-bf3171373c8a;Retentor comando de valvula ;Sem Marca;;;;-2;0; R$ -   ;;2026-05-14T19:57:35.992123+00:00;
P065;PRODUTO;ALTA;nomes praticamente idênticos;0.931;2155ba42-a23e-4d51-b496-f351098d358f;RETENTOR DE COMANDO VALVULA;Sem Marca;;;;-1;0; R$ -   ;;2026-07-13T18:48:48.868821+00:00;
P067;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;dce01dac-1f18-470c-a300-20932984a174;Kit Amortecedor traseiro ;Sem Marca;;;;-1;0; R$ -   ;;2026-04-24T17:44:22.680003+00:00;
P067;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.864;2b5aee9a-d846-4c1c-ba27-f9bdef985d2b;AMORTECEDOR TRASEIRO ;Sem Marca;;;;0;0; R$ -   ;;2026-07-14T12:22:07.296393+00:00;
